DBA Name,Street Address,Yelp Name,Price Level,Rating,Review Count,Top Yelp Category,Is Closed,Yelp Address,Zipcode,Supervisor District,Neighborhood,Business Start Date,Business End Date,Location Start Date,Location End Date,Yelp ID
Golden Coffee,901 Sutter St,Golden Coffee Shop,$,4,480,Breakfast & Brunch,FALSE,901 Sutter St,94112.0,,,1/24/18,,1/24/18,,rBwyayyqFMD8chqenrRxag
Reinas Restaurant,5479 Mission St,Reinas Restaurant,$,3.5,132,Salvadoran,FALSE,5479 Mission St,94112.0,11.0,Excelsior,11/20/02,12/20/16,11/20/02,12/20/16,YqYNt-kyPz9ljjeBDYSsPg
Mikado Sushi Restaurant,1684 Bryant St,Mikado Sushi,$$,3,374,Japanese,FALSE,1684 Bryant St,94103.0,9.0,Mission,7/31/91,4/1/19,5/1/03,3/31/13,HyK-xSMvML7-ksp4_7fpUA
College Market,995 Ellis St,College Market,$$,4,24,Grocery,FALSE,995 Ellis St,94109.0,5.0,Western Addition,12/9/96,9/6/19,12/9/96,9/6/19,KjyMNpNb7wBeszJLQF5-RA
Golden Island Cafe,1300 Noriega St,Golden Island Cafe,$,3.5,841,Desserts,FALSE,1300 Noriega St,94122.0,4.0,Sunset/Parkside,1/15/97,11/16/16,1/15/97,11/16/16,RmSm5ps0zgYer9xxApBVrQ
Golden Island Cafe,1300 Noriega St,Golden Island Cafe,$,3.5,841,Desserts,FALSE,1300 Noriega St,94122.0,,,11/17/16,11/17/16,11/17/16,11/17/16,RmSm5ps0zgYer9xxApBVrQ
Golden Island Cafe,1300 Noriega St,Golden Island Cafe,$,3.5,841,Desserts,FALSE,1300 Noriega St,94122.0,,,11/16/16,,11/16/16,,RmSm5ps0zgYer9xxApBVrQ
Wok Shop Cafe,1307 Sutter St,Wok Shop Cafe,$,4,594,Chinese,FALSE,1307 Sutter St,94109.0,2.0,Western Addition,1/1/97,7/31/17,1/1/97,7/31/17,KIK0Frk34Bi99FbNxQNMmQ
Wok Shop Cafe,1307 Sutter St,Wok Shop Cafe,$,4,594,Chinese,FALSE,1307 Sutter St,94109.0,,,7/27/17,,7/27/17,,KIK0Frk34Bi99FbNxQNMmQ
Lawrence Bakery Cafe,2290 Mission St,Lawrence Bakery Cafe,$,4.5,9,Bakeries,TRUE,2290 Mission St,94110.0,9.0,Mission,1/22/97,7/15/17,1/22/97,7/15/17,LQ_Wx3meZKdG086NsK_bRA
India Clay Oven Restaurant/bar,2436 Clement St,India Clay Oven,$$,3.5,690,Indian,FALSE,2436 Clement St,94121.0,1.0,Outer Richmond,1/1/97,11/30/15,4/8/04,11/30/15,800bnSbI4mdJsix1Ulp08g
Clement Street Bar & Grill,708 Clement St,Heritage Restaurant & Bar,$$,4,192,American (New),FALSE,708 Clement St,94118.0,1.0,Inner Richmond,3/1/97,3/22/17,3/1/97,3/22/17,J9UxQxX91mgYF7c2HqRAsA
Clement Street Bar & Grill,708 Clement St,Heritage Restaurant & Bar,$$,4,192,American (New),FALSE,708 Clement St,94118.0,,,3/22/17,5/15/17,3/22/17,5/15/17,J9UxQxX91mgYF7c2HqRAsA
Jardiniere Restaurant,300 Grove St,Jardiniere,$$$$,4,1652,French,TRUE,300 Grove St,94102.0,5.0,Hayes Valley,3/12/97,7/19/19,3/12/97,7/19/19,inVsc1turxk_OpM9E2Q1Rw
Coffee Cabin,899 Hyde St,Crostini & Java,$$,5,147,Coffee & Tea,FALSE,899 Hyde St,94102.0,,,4/16/97,6/30/16,4/16/97,6/30/16,SZs2L7N1tNSsFEdbdEvcdw
The Cake House,5169 Mission St,The Cake House,$$,4.5,19,Custom Cakes,TRUE,5169 Mission St,94112.0,,,2/1/96,4/30/18,2/1/96,4/30/18,kDsLT0xa35As5e3H9KyZ5w
The Cake House,5169 Mission St,The Cake House,$$,4.5,19,Custom Cakes,TRUE,5169 Mission St,94112.0,11.0,Excelsior,3/20/18,5/15/18,5/1/18,5/1/18,kDsLT0xa35As5e3H9KyZ5w
The Cake House,5169 Mission St,The Cake House,$$,4.5,19,Custom Cakes,TRUE,5169 Mission St,94112.0,11.0,Excelsior,7/1/18,12/31/18,7/1/18,11/6/18,kDsLT0xa35As5e3H9KyZ5w
El Beach Burrito,3914 Judah St,El Beach Burrito,$,2.5,267,Mexican,TRUE,3914 Judah St,94122.0,,,10/9/03,6/28/19,10/9/03,6/28/19,DDHAkjcXk7sl-Rda9u8XDA
New Moon Restaurant,1247 Stockton St,New Moon,$,3.5,47,Dim Sum,FALSE,1247 Stockton St,94133.0,3.0,Chinatown,1/1/98,12/31/16,1/1/98,12/31/16,22hz8_Oby4n38vJ4h8ENBA
New Moon Restaurant,1247 Stockton St,New Moon,$,3.5,47,Dim Sum,FALSE,1247 Stockton St,94133.0,,,2/1/17,,2/1/17,,22hz8_Oby4n38vJ4h8ENBA
E & O Trading Company,314 Sutter St,E&O Kitchen and Bar,$$,4,1043,Asian Fusion,FALSE,314 Sutter St,94108.0,3.0,Financial District/South Beach,8/12/97,7/1/15,8/12/97,7/1/15,if7l8HVMz7kmW0tG9l2LQA
E & O Asian Kitchen,314 Sutter St,E&O Kitchen and Bar,$$,4,1043,Asian Fusion,FALSE,314 Sutter St,94108.0,,,8/12/97,7/1/15,7/1/12,7/1/15,if7l8HVMz7kmW0tG9l2LQA
Hoy Sun Restaurant,2520 San Bruno Ave,Dim Sum Kitchen,$$,3,41,Dim Sum,FALSE,2520 San Bruno Ave,94134.0,9.0,Portola,1/1/09,6/30/16,1/1/09,6/30/16,6HvY8EnovnQEsEWNEE9UBw
Original Mccarthys,2327 Mission St,Cha Cha Cha,$$,3.5,1948,Bars,FALSE,2327 Mission St,94110.0,,,4/1/98,9/3/16,4/1/98,9/3/16,QH8WwAYdr3NrH2QwHiPjog
Bazaar Cafe,5927 California St,Bazaar Cafe,$,4,308,Coffee & Tea,FALSE,5927 California St,94121.0,1.0,Outer Richmond,7/15/98,8/31/18,7/15/98,8/31/18,aB_jimByFRPpde3LC13ucw
Bazaar Cafe,5927 California St,Bazaar Cafe,$,4,308,Coffee & Tea,FALSE,5927 California St,94121.0,1.0,Outer Richmond,8/20/18,,8/24/18,,aB_jimByFRPpde3LC13ucw
